DBN,School Name,Testers,Offers,,Source: New York City Department of Education. ^Data suppressed for values of 5 students or fewer.
84X398,BRONX COMMUNITY CHARTER SCHOOL,19,s,,
04M057,JAMES WELDON JOHNSON,20,s,,
04M825,ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE,20,s,,
06M324,M.S. 324 - PATRIA MIRABAL,20,s,,
12X383,EMOLIOR ACADEMY,20,s,,
13K113,M.S. 113 RONALD EDMONDS LEARNING CENTER,20,s,,
16K681,MADIBA PREP MIDDLE SCHOOL,20,s,,
17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",20,s,,
23K518,KAPPA V (KNOWLEDGE AND POWER PREPARATORY ACADEMY),20,s,,
32K377,P.S. 377 ALEJANDRINA B. DE GAUTIER,20,s,,
84M386,SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 4,20,s,,
84M478,INWOOD ACADEMY FOR LEADERSHIP CHARTER SCHOOL,20,s,,
84Q304,VOICE CHARTER SCHOOL OF NEW YORK,20,s,,
84X538,ICAHN CHARTER SCHOOL 5,20,s,,
03M421,WEST PREP ACADEMY,21,s,,
05M129,P.S. 129 JOHN H. FINLEY,21,s,,
08X467,MOTT HALL COMMUNITY SCHOOL,21,s,,
09X328,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,21,s,,
13K351,THE URBAN ASSEMBLY UNISON SCHOOL,21,s,,
15K464,PARK SLOPE COLLEGIATE,21,s,,
19K364,I.S. 364 GATEWAY,21,s,,
28Q167,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,21,s,,
28Q284,YORK EARLY COLLEGE ACADEMY,21,s,,
28Q287,THE EMERSON SCHOOL,21,s,,
29Q289,QUEENS UNITED MIDDLE SCHOOL,21,s,,
84K724,LEADERSHIP PREP CANARSIE CHARTER SCHOOL (LEADERSHIP PREP CS 4),21,s,,
84M481,DEMOCRACY PREP HARLEM CHARTER SCHOOL,21,s,,
03M180,P.S. 180 HUGO NEWMAN,22,s,,
06M322,MIDDLE SCHOOL 322,22,s,,
08X131,J.H.S. 131 ALBERT EINSTEIN,22,s,,
13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,22,s,,
31R080,THE MICHAEL J. PETRIDES SCHOOL,22,s,,
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,22,s,,
84K355,WILLIAMSBURG COLLEGIATE CHARTER SCHOOL,22,s,,
84K744,CONEY ISLAND PREPARATORY PUBLIC CHARTER SCHOOL,22,s,,
84M388,ST. HOPE LEADERSHIP ACADEMY CHARTER SCHOOL,22,s,,
84X389,BRONX GLOBAL LEARNING INSTITUTE FOR GIRLS CHARTER SCHOOL,22,s,,
84X703,BRONX PREPARATORY CHARTER SCHOOL,22,s,,
11X287,NORTH BRONX SCHOOL OF EMPOWERMENT,23,s,,
17K138,P.S. 138 BROOKLYN,23,s,,
19K218,J.H.S. 218 JAMES P. SINNOTT,23,s,,
25Q252,"QUEENS SCHOOL OF INQUIRY, THE",23,s,,
26Q178,P.S./I.S. 178 HOLLISWOOD,23,s,,
84K379,EXPLORE EXCEL CHARTER SCHOOL,23,s,,
84K731,BROOKLYN EXCELSIOR CHARTER SCHOOL,23,s,,
84M284,HARLEM CHILDREN'S ZONE PROMISE ACADEMY 1 CHARTER SCHOOL,23,s,,
84X346,SOUTH BRONX CLASSICAL CHARTER SCHOOL,23,s,,
84X704,KIPP ACADEMY CHARTER SCHOOL,23,s,,
09X022,J.H.S. 022 JORDAN L. MOTT,24,s,,
10X390,M.S. 390,24,s,,
11X019,P.S. 019 JUDITH K. WEISS,24,s,,
11X355,BRONX ALLIANCE MIDDLE SCHOOL,24,s,,
11X462,CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA),24,s,,
17K246,M.S. 246 WALT WHITMAN,24,s,,
19K661,VISTA ACADEMY,24,s,,
20K609,URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,24,s,,
28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,24,s,,
32K045,P.S./I.S. 045 HORACE E. GREENE,24,s,,
84K737,BROWNSVILLE ASCEND CHARTER SCHOOL,24,s,,
84X706,HARRIET TUBMAN CHARTER SCHOOL,24,s,,
84X717,ICAHN CHARTER SCHOOL,24,s,,
09X215,KAPPA,25,s,,
11X089,P.S. 089 BRONX,25,s,,
15K442,M.S. 442 CARROLL GARDENS SCHOOL FOR INNOVATION,25,s,,
27Q297,HAWTREE CREEK MIDDLE SCHOOL,25,s,,
84K358,ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,25,s,,
84K793,BUSHWICK ASCEND CHARTER SCHOOL,25,s,,
13K492,ACADEMY OF ARTS AND LETTERS,26,s,,
24Q113,P.S./I.S. 113 ANTHONY J. PRANZO,26,s,,
84K740,BROOKLYN SCHOLARS CHARTER SCHOOL,26,s,,
84K742,EXPLORE EMPOWER CHARTER SCHOOL,26,s,,
84K746,HEBREW LANGUAGE ACADEMY CHARTER SCHOOL,26,s,,
84K782,BEDFORD STUYVESANT NEW BEGINNINGS CHARTER SCHOOL,26,s,,
84M065,DEMOCRACY PREP ENDURANCE CHARTER SCHOOL,26,s,,
84Q321,GROWING UP GREEN CHARTER SCHOOL,26,s,,
84R073,NEW WORLD PREPARATORY CHARTER SCHOOL,26,s,,
84X471,AMERICAN DREAM CHARTER SCHOOL,26,s,,
06M319,M.S. 319 - MARIA TERESA,27,s,,
09X339,I.S. 339,27,s,,
10X015,P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,27,s,,
10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),27,s,,
16K035,M.S. 035 STEPHEN DECATUR,27,s,,
28Q332,REDWOOD MIDDLE SCHOOL,27,s,,
29Q268,P.S./I.S. 268,27,s,,
29Q295,P.S./I.S. 295,27,s,,
84K360,LAUNCH EXPEDITIONARY LEARNING CHARTER SCHOOL,27,s,,
84K608,KINGS COLLEGIATE CHARTER SCHOOL,27,s,,
84M202,GREAT OAKS CHARTER SCHOOL,27,s,,
84M350,DEMOCRACY PREP CHARTER SCHOOL,27,s,,
12X214,P.S. 214,28,s,,
17K181,P.S. 181 BROOKLYN,28,s,,
29Q208,P.S./I.S. 208,28,s,,
30Q127,P.S. 127 AEROSPACE SCIENCE MAGNET SCHOOL,28,s,,
30Q204,I.S. 204 OLIVER W. HOLMES,28,s,,
08X562,BLUEPRINT MIDDLE SCHOOL,29,s,,
09X323,BRONX WRITING ACADEMY,29,s,,
10X447,CRESTON ACADEMY,29,s,,
11X370,LEADERS OF TOMORROW,29,s,,
12X129,M.S. 129 ACADEMY FOR INDEPENDENT LEARNING AND LEADERSHIP,29,s,,
30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",29,s,,
84K710,BROWNSVILLE COLLEGIATE CHARTER SCHOOL,29,s,,
84K791,BROOKLYN DREAMS CHARTER SCHOOL,29,s,,
84M385,SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 3,29,s,,
84Q340,CHALLENGE PREPARATORY CHARTER SCHOOL,29,s,,
84X496,ICAHN CHARTER SCHOOL 4,29,s,,
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",30,s,,
09X568,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX,30,s,,
22K381,I. S. 381,30,s,,
84K386,INVICTUS PREPARATORY CHARTER SCHOOL,30,s,,
84X233,FAMILY LIFE ACADEMY CHARTER SCHOOL II,30,s,,
84X493,SUCCESS ACADEMY CHARTER SCHOOL - BRONX 1,30,s,,
07X343,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,31,s,,
11X566,PELHAM GARDENS MIDDLE SCHOOL,31,s,,
84K711,LEADERSHIP PREPARATORY BROWNSVILLE CHARTER SCHOOL,31,s,,
84X378,ICAHN CHARTER SCHOOL 2,31,s,,
84X488,THE EQUALITY CHARTER SCHOOL,31,s,,
84K508,ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,32,s,,
84X491,ACADEMIC LEADERSHIP CHARTER SCHOOL,32,s,,
02M422,QUEST TO LEARN,33,s,,
21K209,P.S. 209 MARGARET MEAD,33,s,,
27Q232,P.S. 232 LINDENWOOD,33,s,,
84Q341,RIVERTON STREET CHARTER SCHOOL,33,s,,
12X316,KAPPA III,34,s,,
18K763,BROOKLYN SCIENCE AND ENGINEERING ACADEMY,34,s,,
31R861,STATEN ISLAND SCHOOL OF CIVIC LEADERSHIP,34,s,,
09X454,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,35,s,,
10X331,THE BRONX SCHOOL OF YOUNG LEADERS,35,s,,
11X468,PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT,35,s,,
11X529,ONE WORLD MIDDLE SCHOOL AT EDENWALD,35,s,,
14K126,JOHN ERICSSON MIDDLE SCHOOL 126,35,s,,
17K340,I.S. 340,35,s,,
22K078,J.H.S. 078 ROY H. MANN,35,s,,
24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",35,s,,
29Q270,THE GORDON PARKS SCHOOL,35,s,,
84K357,KIPP AMP CHARTER SCHOOL,35,s,,
84M351,SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 1,35,s,,
84Q706,OUR WORLD NEIGHBORHOOD CHARTER SCHOOL,35,s,,
06M187,P.S./I.S. 187 HUDSON CLIFFS,36,s,,
11X498,P.S./M.S. 11X498 - VAN NEST ACADEMY,36,s,,
18K211,I.S. 211 JOHN WILSON,36,s,,
11X326,BRONX GREEN MIDDLE SCHOOL,37,s,,
18K066,P.S. 66,37,s,,
27Q319,VILLAGE ACADEMY,37,s,,
28Q072,CATHERINE & COUNT BASIE MIDDLE SCHOOL 72,37,s,,
84K648,BEDFORD STUYVESANT COLLEGIATE CHARTER SCHOOL,37,s,,
84K704,EXPLORE CHARTER SCHOOL,37,s,,
84M384,SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 2,37,s,,
10X279,"P.S. 279 CAPTAIN MANUEL RIVERA, JR.",38,s,,
13K282,P.S. 282 PARK SLOPE,38,s,,
21K303,I.S. 303 HERBERT S. EISENBERG,38,s,,
84K333,EXPLORE EXCEED CHARTER SCHOOL,38,s,,
84M430,THE EQUITY PROJECT CHARTER SCHOOL (TEP),38,s,,
08X125,J.H.S. 125 HENRY HUDSON,39,s,,
08X337,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,39,s,,
08X371,URBAN INSTITUTE OF MATHEMATICS,39,s,,
